release_year,release_month,release_year_month,relative_relevance_health,relative_relevance_justice,relative_relevance_money,relative_relevance_police,relative_relevance_politics
2012,6,2012-06,0.10927088320720335,0.0,0.0,0.0,0.0
2012,7,2012-07,0.006745897469211534,0.02552732806804457,0.0,0.004892384270433617,0.0
2012,8,2012-08,0.0,0.0,0.0,0.0,0.0
2012,9,2012-09,0.012915473626851625,0.00456836115973415,0.001554407289749275,0.0034498577036406125,0.0
2012,10,2012-10,0.019989382920508458,0.0,0.00882727759549876,0.0,0.0
2012,11,2012-11,0.03141748874844717,0.0070632807794782,0.0,0.00324443964763375,0.0
2012,12,2012-12,0.04141082760414775,0.0,0.0,0.0,0.0
2013,1,2013-01,0.02394581514375334,0.0,0.02230382538220626,0.0,0.0
2013,2,2013-02,0.0180845295427975,0.02723880426258342,0.05883362060261543,0.0,0.0
2013,3,2013-03,0.023302281576119223,0.029104087971808412,0.01864253542188714,0.0,0.0
2013,4,2013-04,0.03536522704538688,0.0,0.0,0.017567667025805166,0.0
2013,5,2013-05,0.037620465054401135,0.02301207998793697,0.0,0.004426439049771333,0.0
2013,6,2013-06,0.0388339213131203,0.0,0.0,0.0,0.0
2013,7,2013-07,0.0,0.0,0.0342376568314277,0.0,0.0
2013,8,2013-08,0.003651777397226075,0.020744651748417938,0.017867885495740386,0.001839165377499175,0.0
2013,9,2013-09,0.02248966676784056,0.02337439523917874,0.01105478079393564,0.00136006953283442,0.0
2013,10,2013-10,0.05610659594655883,0.0,0.0,0.00282063654632964,0.0
2013,11,2013-11,0.036321228553340634,0.0,0.0,0.0,0.0
2013,12,2013-12,0.013939294588378575,0.0,0.007986588068127624,0.0,0.0
2014,1,2014-01,0.0,0.0,0.08542441039064536,0.0,0.0
2014,2,2014-02,0.0,0.0278047833605209,0.0,0.0,0.0
2014,3,2014-03,0.0,0.0,0.09914142115324,0.0,0.0
2014,4,2014-04,0.023190751828159828,0.01374912395868145,0.0,0.0029131745469647,0.0
2014,5,2014-05,0.053235613143218855,0.0,0.0335874748497359,0.00195574005579615,0.0
2014,6,2014-06,0.004586387242409683,0.007286325495942501,0.010315635564442068,0.0,0.0
2014,7,2014-07,0.025296870839289914,0.013980970340576932,0.0,0.0,0.0
2014,8,2014-08,0.00403066896503655,0.034405173216852894,0.02309711696587537,0.00387402097230626,0.0
2014,9,2014-09,0.00754464811004224,0.022730973946809598,0.015074049129667519,0.0,0.0
2014,10,2014-10,0.0658224398089253,0.006485783121473562,0.0066903836609632,0.0,0.0
2014,11,2014-11,0.03569107251246015,0.01675788240681621,0.06038027340412072,0.02218328702758107,0.0022183287027581
2014,12,2014-12,0.04734655184686155,0.0,0.03323483869022395,0.00702675165035595,0.0
2015,1,2015-01,0.010241477215948884,0.0,0.020378001541260335,0.0,0.0
2015,2,2015-02,0.0,0.0,0.0162192422106718,0.0,0.0
2015,3,2015-03,0.029031744402013438,0.0,0.05333209040874698,0.0,0.0
2015,4,2015-04,0.08526836860061815,0.0195446140532308,0.0291346636190796,0.01175381511749895,0.0
2015,5,2015-05,0.03559460885755105,0.0289139768204838,0.0,0.0061263147803519,0.0
2015,6,2015-06,0.028735365694536656,0.008352487624104,0.03574137154529501,0.0017697312514964665,0.0
2015,7,2015-07,0.1346369888106942,0.0528472716012385,0.0,0.0,0.0
2015,8,2015-08,0.0,0.0,0.0,0.0,0.0
2015,9,2015-09,0.03435055405557783,0.009711496069978934,0.009642547244501498,0.0,0.0
2015,10,2015-10,0.0053227592009265,0.026464443098535198,0.0231257268644178,0.0,0.0
2015,11,2015-11,0.0,0.0,0.0087800967910988,0.0,0.0
2015,12,2015-12,0.0228749945732452,0.0,0.0461980559219956,0.0,0.0
2016,1,2016-01,0.03096978455833445,0.020108078598329825,0.04893275749682455,0.00262809416584815,0.0
2016,2,2016-02,0.033238409688735905,0.0,0.0,0.0,0.0
2016,3,2016-03,0.03536796137705843,0.0132125578757768,0.0,0.0027994865287186,0.0
2016,4,2016-04,0.0,0.0,0.0093922084925217,0.0,0.0
2016,5,2016-05,0.0844590450207098,0.006805022707928578,0.013481131586574178,0.0,0.0
2016,6,2016-06,0.0,0.0350172047291525,0.0,0.007419471220812366,0.0
2016,7,2016-07,0.006360533359676166,0.0,0.0,0.0,0.0
2016,8,2016-08,0.014039688273997602,0.0,0.12010137895518676,0.0,0.0
2016,9,2016-09,0.00883698935656665,0.0130919384075857,0.00529332742947955,0.0,0.0
2016,10,2016-10,0.046122356450686776,0.0,0.02558942192155595,0.00514272696852645,0.0
2016,11,2016-11,0.0425906354347253,0.0130768038628208,0.0355626751963437,0.00277072286811155,0.0
2016,12,2016-12,0.0,0.02515699578253465,0.0,0.00218823203385235,0.0
2017,1,2017-01,0.0,0.0222154824152077,0.043786469603038725,0.001351502698169625,0.0
2017,2,2017-02,0.013550838585060222,0.0,0.026440879771530625,0.0,0.0
2017,3,2017-03,0.03473185608777497,0.0,0.0,0.0,0.0
2017,4,2017-04,0.034270272144048014,0.0,0.03142778024538296,0.0,0.0
2017,5,2017-05,0.06748191988309762,0.0148139535288972,0.0,0.0031387914233657,0.0
2017,6,2017-06,0.020014252103513052,0.0,0.03874254482458375,0.0,0.0
2017,7,2017-07,0.02245611975325462,0.013678236229926616,0.0,0.0,0.0
2017,8,2017-08,0.011293308105099964,0.0,0.0198965887900252,0.0,0.0
2017,9,2017-09,0.0,0.022514750539267533,0.023806363102995665,0.0,0.0
2017,10,2017-10,0.008323041108634016,0.03643142022591277,0.04145370374672682,0.0,0.0
2017,11,2017-11,0.01791825271064305,0.0,0.02630696331422755,0.0,0.0
2017,12,2017-12,0.0654789798872027,0.0,0.02905340365047205,0.0,0.0
2018,1,2018-01,0.048959594281962636,0.006299988889957617,0.019121536231139068,0.0013348463026108999,0.0
2018,2,2018-02,0.044627175990941494,0.0,0.009130156102196934,0.0,0.0
2018,3,2018-03,0.044197821386426916,0.0,0.02398172405735604,0.0,0.0
2018,4,2018-04,0.039160039927485256,0.00961569218762324,0.036445714400396165,0.0,0.0
2018,5,2018-05,0.013085843297050183,0.005246583708226733,0.05986357371588896,0.0,0.0
2018,6,2018-06,0.0,0.0,0.0157479496420133,0.0,0.0
2018,7,2018-07,0.006370254264970384,0.008475334628940033,0.0,0.0022116944111859834,0.0
2018,8,2018-08,0.00923372644736895,0.0230219469692436,0.0,0.0048779071404054,0.0
2018,9,2018-09,0.06295461646479372,0.0,0.0,0.0,0.0
2018,10,2018-10,0.014229958235640725,0.0,0.005624303052411075,0.0,0.0
2018,11,2018-11,0.029228243904354516,0.0,0.0066590311248749395,0.0,0.0
2018,12,2018-12,0.03146452246953235,0.010172133540410475,0.08827844087428775,0.002155279173226075,0.0
2019,1,2019-01,0.028134265249121826,0.0037296021273643285,0.048120709616080504,0.0014506393319275428,0.0
2019,2,2019-02,0.05247872758590544,0.0167254939169014,0.0,0.0,0.0
2019,3,2019-03,0.031377720101214,0.0,0.022952885247442333,0.0,0.0
2019,4,2019-04,0.0169027598403717,0.0,0.0,0.0,0.0
2019,5,2019-05,0.005342567246417125,0.0,0.07545613449013819,0.0,0.003540084382861125
2019,6,2019-06,0.02443192512743707,0.017073042888301034,0.02531781856701854,0.00125981827012895,0.0
2019,7,2019-07,0.06584091296454363,0.0,0.0,0.0,0.0
2019,8,2019-08,0.03398566194230894,0.0,0.0,0.0,0.0
2019,9,2019-09,0.08039346389248864,0.0,0.03265441025135273,0.0,0.0
2019,10,2019-10,0.040252699744249984,0.005822725646616339,0.0,0.0,0.0
2019,11,2019-11,0.03293524118135641,0.0,0.024064412650617917,0.00131855778989575,0.0
2019,12,2019-12,0.014497987455235251,0.0,0.023089973871296424,0.00172795872852285,0.0
2020,1,2020-01,0.014157212966499376,0.0,0.048270610162466976,0.0,0.0
2020,2,2020-02,0.0,0.02426355701944807,0.015668084771235033,0.0214853255938906,0.0
2020,3,2020-03,0.0863333806024491,0.0,0.03799614901864565,0.0,0.0
2020,4,2020-04,0.0,0.0,0.0490390306568193,0.0,0.0
2020,5,2020-05,0.01394618701782872,0.0,0.010550210821267319,0.0,0.0
2020,6,2020-06,0.027745760278544602,0.0834827962161101,0.0206982377285031,0.0379898920094221,0.0032425138897909
2020,7,2020-07,0.0062741933789926775,0.007721340927382577,0.0,0.0,0.0
2020,8,2020-08,0.02195166698792966,0.00491750471224006,0.0,0.0021092608295645,0.0
2020,10,2020-10,0.05702796281004807,0.0,0.0,0.0,0.0
2020,11,2020-11,0.04169483119896356,0.0,0.005622473554845266,0.0,0.0
2020,12,2020-12,0.03749676967643766,0.020155795618160867,0.034299535006433166,0.0054321282540118,0.0
2021,1,2021-01,0.0,0.0,0.05825461910079587,0.0,0.0
2021,2,2021-02,0.0308829136534092,0.0,0.0,0.0,0.0
2021,3,2021-03,0.006445453026242225,0.020057662746270875,0.03195504997944192,0.00720326697669125,0.0
2021,4,2021-04,0.0,0.00510629431265332,0.014195483363083239,0.00679315987870098,0.0
2021,5,2021-05,0.08032813544373933,0.0,0.0,0.0,0.0
2021,6,2021-06,0.009306764604509401,0.0,0.0024685164459271,0.0012512871972252223,0.0
2021,7,2021-07,0.02327856147882305,0.02240903232989845,0.0,0.0,0.0
2021,8,2021-08,0.0182291490012543,0.0,0.0,0.0,0.0
2021,9,2021-09,0.017022810041875867,0.0,0.017802494040335865,0.00349589424660335,0.0
2021,10,2021-10,0.0065438352644893,0.0,0.0,0.0,0.0
2021,11,2021-11,0.0337515960197411,0.01217953786786152,0.0,0.0054808256424396,0.0
2021,12,2021-12,0.05558640805464483,0.0,0.012510662996781835,0.0,0.0
2022,1,2022-01,0.0,0.0,0.0791499452226134,0.0,0.0
2022,2,2022-02,0.03718012050674295,0.0,0.0,0.0,0.0
2022,3,2022-03,0.049061958129453236,0.0,0.0111373679307673,0.0,0.0
2022,4,2022-04,0.019496744090762658,0.013423232803655042,0.014213928624517229,0.0006599798675940285,0.0
2022,5,2022-05,0.0,0.0,0.0564199657753903,0.0,0.0
2022,6,2022-06,0.027748558181336983,0.0,0.0,0.00521784602727015,0.0
2022,7,2022-07,0.014821079737095634,0.0,0.0,0.0,0.0
2022,8,2022-08,0.0696098368240409,0.0,0.0,0.0,0.0
2022,9,2022-09,0.0,0.0,0.0,0.0,0.0
2022,10,2022-10,0.050871086571543246,0.018811752604740217,0.0297897265533543,0.0039858480465094,0.0
2022,12,2022-12,0.05223970497175675,0.00500069276301575,0.0,0.0,0.0
2023,1,2023-01,0.03354161716311282,0.0,0.0062273827575841665,0.0,0.0
2023,2,2023-02,0.0092716126398843,0.02056502663238055,0.0,0.0,0.0
2023,3,2023-03,0.03650417695071194,0.0,0.017269667284907,0.0020973449586313,0.0
2023,4,2023-04,0.0,0.0,0.017055809710415776,0.0,0.0
2023,5,2023-05,0.1300743790495745,0.1294585805471702,0.0401251415968248,0.0054980305932058,0.0105082884907825
2023,6,2023-06,0.01567023682185718,0.01224819684149596,0.0,0.00259515699997232,0.0
2023,7,2023-07,0.0,0.0,0.0116412391526426,0.0,0.0
2023,8,2023-08,0.04801106458779271,0.010109708244240725,0.003865349060144925,0.001554041095567675,0.0017542545944220125
2023,9,2023-09,0.04505159087492655,0.0,0.0,0.0,0.0
2023,10,2023-10,0.0,0.0,0.017463803118125433,0.0,0.0
2023,11,2023-11,0.0,0.0,0.03040023155410095,0.0,0.0
2023,12,2023-12,0.05168404583960914,0.0,0.0,0.0,0.0
2024,1,2024-01,0.0372002753987441,0.0,0.01118487783643605,0.0,0.0
2024,2,2024-02,0.03271615095330052,0.0,0.01595773062250455,0.0,0.0
2024,3,2024-03,0.02026962863082135,0.0,0.03005299284699067,0.0015238511143305835,0.0
2024,4,2024-04,0.05796427434995266,0.019806617120347356,0.0036081181238535667,0.0011044969875116776,0.016155333628067967
2024,5,2024-05,0.029656575239505753,0.0027819355213379113,0.0014976588394759666,0.001957267215198811,0.0
2024,6,2024-06,0.06374077964936188,0.0042755795145223,0.0,0.0025436986032594,0.0
2024,7,2024-07,0.0534468853652348,0.0,0.0,0.0,0.0
2024,8,2024-08,0.0353709296794781,0.0,0.01194656414123645,0.0,0.0
